Tag_0,Local HMI,LW_Bit,0904815,,Неопределенный
Tag_1,Local HMI,RW,0,,32-bit Float
LDM1. Ошибка связи,Local HMI,LB,10,Скрыть элементы в случае ошибки связи,Неопределенный
LDM2. Ошибка связи,Local HMI,LB,20,,Неопределенный
LDM1. Ошибка положения в зоне,Local HMI,LB,11,,Неопределенный
LDM2. Ошибка положения в зоне,Local HMI,LB,21,,Неопределенный
LDM1. Нет объекта,Local HMI,LB,12,,Неопределенный
LDM2. Нет объекта,Local HMI,LB,22,,Неопределенный
LDM1. Очистить изобрежение,Local HMI,LB,13,,Неопределенный
LDM2. Очистить изобрежение,Local HMI,LB,23,,Неопределенный
LDM3. Ошибка связи,Local HMI,LB,30,,Неопределенный
LDM3. Ошибка положения в зоне,Local HMI,LB,31,,Неопределенный
LDM3. нет объекта,Local HMI,LB,32,,Неопределенный
LDM3. Очистить изображение,Local HMI,LB,33,,Неопределенный
ЗАСИ. Ошибка связи,Local HMI,LB,40,,Неопределенный
Ошибка связи ИД,Local HMI,LB,50,,Неопределенный
Ошибка связи ИЁ,Local HMI,LB,60,,Неопределенный
Индикация / Связь,Local HMI,RW_Bit,71,,Неопределенный
CAP_calibrated,Local HMI,LB,75,,Неопределенный
CAP_CalibMode,Local HMI,LB,73,,Неопределенный
LDM1. Плоский,Local HMI,RW_Bit,13,LDM1. Плоский,Неопределенный
LDM2. Плоский,Local HMI,RW_Bit,23,,Неопределенный
LDM3. Плоский,Local HMI,RW_Bit,33,,Неопределенный
Реле 1 не отвечает,Local HMI,LB,100,,Неопределенный
Реле 2 не отвечает,Local HMI,LB,110,,Неопределенный
Реле 3 не отвечает,Local HMI,LB,120,,Неопределенный
